"yr","mo","mrfuzzy_rev","lovebear_rev","birthdaybear_rev","minibear_rev","total_revenue","total_margin"
"2012","3","2999.40",NULL,NULL,NULL,"2999.40","1830.00"
"2012","4","4949.01",NULL,NULL,NULL,"4949.01","3019.50"
"2012","5","5398.92",NULL,NULL,NULL,"5398.92","3294.00"
"2012","6","6998.60",NULL,NULL,NULL,"6998.60","4270.00"
"2012","7","8448.31",NULL,NULL,NULL,"8448.31","5154.50"
"2012","8","11397.72",NULL,NULL,NULL,"11397.72","6954.00"
"2012","9","14347.13",NULL,NULL,NULL,"14347.13","8753.50"
"2012","10","18546.29",NULL,NULL,NULL,"18546.29","11315.50"
"2012","11","30893.82",NULL,NULL,NULL,"30893.82","18849.00"
"2012","12","25294.94",NULL,NULL,NULL,"25294.94","15433.00"
"2013","1","17146.57","2819.53",NULL,NULL,"19966.10","12224.00"
"2013","2","16796.64","9718.38",NULL,NULL,"26515.02","16323.00"
"2013","3","15996.80","3899.35",NULL,NULL,"19896.15","12197.50"
"2013","4","22945.41","5639.06",NULL,NULL,"28584.47","17524.50"
"2013","5","24445.11","4919.18",NULL,NULL,"29364.29","17989.50"
"2013","6","25144.97","5399.10",NULL,NULL,"30544.07","18716.50"
"2013","7","25444.91","5699.05",NULL,NULL,"31143.96","19087.00"
"2013","8","25494.90","5879.02",NULL,NULL,"31373.92","19230.00"
"2013","9","26844.63","5879.02",NULL,NULL,"32723.65","20053.50"
"2013","10","30143.97","8098.65",NULL,NULL,"38242.62","23454.00"
"2013","11","36192.76","10438.26",NULL,NULL,"46631.02","28607.00"
"2013","12","40891.82","10978.17","6392.61",NULL,"58262.60","36190.00"
"2014","1","36392.72","10978.17","9198.00",NULL,"56568.89","35366.50"
"2014","2","29194.16","21056.49","9703.89","6057.98","66012.52","41762.00"
"2014","3","39242.15","11578.07","11221.56","6147.95","68189.73","43068.50"
"2014","4","45840.83","12837.86","12279.33","7767.41","78725.43","49713.50"
"2014","5","51489.70","14757.54","13751.01","8937.02","88935.27","56167.50"
"2014","6","44641.07","14697.55","13245.12","7467.51","80051.25","50600.50"
"2014","7","48040.39","14637.56","12693.24","7917.36","83288.55","52566.50"
"2014","8","47890.42","14217.63","13521.06","9086.97","84716.08","53579.00"
"2014","9","52789.44","15057.49","14578.83","9806.73","92232.49","58309.50"
"2014","10","58638.27","17037.16","16924.32","11306.23","103905.98","65747.00"
"2014","11","72535.49","22616.23","19545.75","13465.51","128162.98","80985.00"
"2014","12","79184.16","23216.13","24788.61","17634.12","144823.02","91857.00"
"2015","1","69586.08","23636.06","20695.50","18293.90","132211.54","83911.00"
"2015","2","55638.87","38633.56","18625.95","16314.56","129212.94","82006.00"
"2015","3","43191.36","13377.77","12095.37","10286.57","78951.07","50030.50"
